month,year,state,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
1,2014,Alabama,42.6,45.8,-86.82837194,32.78983219
1,2014,Arizona,44,41.1,-111.6644183,34.29310987
1,2014,Arkansas,37.6,40.4,-92.43926766,34.89974533
1,2014,California,47.1,42.7,-119.610699,37.24607067
1,2014,Colorado,25,24.4,-105.5478247,38.99855182
1,2014,Connecticut,27.3,27.3,-72.72570604,41.62028634
1,2014,Delaware,35.2,34.8,-75.40040409,38.88701645
1,2014,Florida,59.6,58.3,-81.79746387,28.62843926
1,2014,Georgia,45.6,46.6,-83.44634183,32.64922907
1,2014,Idaho,24.4,23,-114.6593823,44.08908951
1,2014,Illinois,22.8,27.5,-89.19839676,40.06504091
1,2014,Indiana,24.4,28.5,-86.27563973,39.90814123
1,2014,Iowa,15.8,20.3,-93.50006496,42.07462688
1,2014,Kansas,29.4,30.1,-98.38021317,38.48470815
1,2014,Kentucky,32.1,35,-85.29045609,37.52666746
1,2014,Louisiana,46.5,50.2,-92.58566202,31.05840696
1,2014,Maine,15.6,15.9,-69.22664746,45.37143349
1,2014,Maryland,33.2,33.9,-76.77245461,39.0369223
1,2014,Massachusetts,26.2,26.1,-71.79863942,42.2533024
1,2014,Michigan,15.8,20.7,-85.43716696,44.35068131
1,2014,Minnesota,3.6,9.7,-94.30901265,46.31633293
1,2014,Mississippi,42.6,46,-89.66521368,32.75086663
1,2014,Missouri,28,31.2,-92.47741016,38.36761316
1,2014,Montana,20.4,18.7,-109.6451486,47.03353642
1,2014,Nebraska,24.1,23.7,-99.81080907,41.52714896
1,2014,Nevada,32.8,30.6,-116.6552255,39.35623735
1,2014,New Hampshire,19.4,19.5,-71.57759415,43.68563175
1,2014,New Jersey,31,31.3,-74.66075411,40.18442736
1,2014,New Mexico,35.4,33.9,-106.1083886,34.42137076
1,2014,New York,21.2,22.3,-75.50311828,42.94039011
1,2014,North Carolina,40.4,40.8,-79.37237975,35.54153412
1,2014,North Dakota,6.8,9.7,-100.4693211,47.44633852
1,2014,Ohio,25.9,28.7,-82.7900612,40.29145221
1,2014,Oklahoma,35.6,37.8,-97.50829271,35.58348565
1,2014,Oregon,33.2,31,-120.5554134,43.93664816
1,2014,Pennsylvania,25.2,27.1,-77.79955956,40.87383785
1,2014,Rhode Island,29.6,29.1,-71.55361205,41.67608139
1,2014,South Carolina,44.8,45.1,-80.89613969,33.90797425
1,2014,South Dakota,15.9,17.4,-100.2305075,44.4361607
1,2014,Tennessee,35.2,38.3,-86.34338037,35.84298709
1,2014,Texas,44.6,46.1,-99.35069715,31.48446438
1,2014,Utah,26.8,26.2,-111.6782164,39.32379475
1,2014,Vermont,18,17.8,-72.66264936,44.07519583
1,2014,Virginia,34.8,35.8,-78.81225447,37.51502389
1,2014,Washington,31.2,29.6,-120.4468664,47.38096888
1,2014,West Virginia,29.8,31.9,-80.61371197,38.64259874
1,2014,Wisconsin,9,15.4,-90.01169426,44.63803019
1,2014,Wyoming,20.7,19.5,-107.5514541,42.99964203
2,2014,Alabama,42.3,46.6,-86.82837194,32.78983219
2,2014,Arizona,48.2,42.6,-111.6644183,34.29310987
2,2014,Arkansas,37,41.2,-92.43926766,34.89974533
2,2014,California,50,43.9,-119.610699,37.24607067
2,2014,Colorado,27,25.6,-105.5478247,38.99855182
2,2014,Connecticut,24.3,25.8,-72.72570604,41.62028634
2,2014,Delaware,32,33.9,-75.40040409,38.88701645
2,2014,Florida,58.6,58.5,-81.79746387,28.62843926
2,2014,Georgia,44.9,47.4,-83.44634183,32.64922907
2,2014,Idaho,27.8,24.2,-114.6593823,44.08908951
2,2014,Illinois,19.4,27.3,-89.19839676,40.06504091
2,2014,Indiana,20.7,28,-86.27563973,39.90814123
