U.S.CustomsandBorderProtection(CBP)Encounters ,,,,,,,,,
"OfficeofFieldOperations(OFO)Title8Inadmissibles, andTitle42ExpulsionsforFY2023",,,,,,,,,
SN,YEAR,MONTH,POLICY,NORTHLAND BORDER ,SOUTHLAND BORDER ,LAND BORDER ,,Policy Catgory,Description and Link: 2023-https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics/title-8-and-title-42-statistics ;  2022- https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics/title-8-and-title-42-statistics-fy22; 2021-     https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics/title-8-and-title-42-statistics-fy2021;     2020- https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics/title-8-and-title-42-statistics-fy2020
1,2023,JANUARY,TITLE 8 AND TITLE 42,"12,547","27,845","40,392",,Title 8: Inadmissible,Enforcement Actions  including inadmissibles processed under CBP’s immigration authority. 1.) individuals encountered at ports of entry who are seeking lawful admission into the United States but are determined to be inadmissible.  2.) Individuals presenting themselves to seek humanitarian protection under our laws . 3.) individuals who withdraw an application for admission and return to their countries of origin within a short timeframe. 
2,2023,FEBRUARY,TITLE 8 AND TITLE 42,"12,421","26,109","38,530",,Title 8: Apprehension,N/A
3,2023,MARCH,TITLE 8 AND TITLE 42,"14,798","29,577","44,375",,Title 42: Expulsion,Expulsions refers to individuals encountered by USBP and OFO and expelled to the country of last transit or home country in the interest of public health under Title 42 U.S.C. 265.
4,2023,APRIL,TITLE 8 AND TITLE 42,"13,151","28,071","41,222",,,
5,2023,MAY,TITLE 8 AND TITLE 42,"16,030","35,308","51,338",,,
5,2023,JUNE,TITLE 8 AND TITLE 42,"15,774","45,018","60,792",,2015-2019 US POLICIES FOCUSED ON INADMISSIBLE AND THE DATASET IS NOT MONTHLY BUT ANNUAL AND DOES NOT SEPERATE THE BORER STATISTICS,
5,2023,JULY,TITLE 8 AND TITLE 42,"17,415","50,837","68,252",,,
5,2023,AUGUST,TITLE 8 AND TITLE 42,"18,778","51,909","70,687",,,
5,2023,SEPTEMBER,TITLE 8 AND TITLE 42,"17,517","50,972","68,489",,Policy Category,Description
5,2023,OCTOBER,TITLE 8 AND TITLE 42,"15,374","26,395","41,769",,,
5,2023,NOVEMBER,TITLE 8 AND TITLE 42,"12,735","27,493","40,228",,Executive Order 13767,"1) Border Security and Immigration Enforcement Improvements
2) Ordered the construction of a border wall.
3) Expanded the use of detention for unauthorized immigrants (reduce ""catch and release.
4)Gave broader powers to U.S. Border Patrol and ICE agents to detain and deport."
5,2023,DECEMBER,TITLE 8 AND TITLE 42,"12,841","30,297","43,138",,,
1,2022,JANUARY,TITLE 8 AND TITLE 42,"7,320","6,997","14,317",,,
1,2022,FEBRUARY,TITLE 8 AND TITLE 42,"6,072","6,840","12,912",,,
1,2022,MARCH,TITLE 8 AND TITLE 42,"7,705","11,393","19,098",,,
1,2022,APRIL,TITLE 8 AND TITLE 42,"8,950","32,281","41,231",,,
1,2022,MAY,TITLE 8 AND TITLE 42,"9,716","16,766","26,482",,,
1,2022,JUNE,TITLE 8 AND TITLE 42,"10,659","15,435","26,094",,Executive Order 13768,"1) Enhancing Public Safety in the Interior of the United States
2) Reinstated Secure Communities, which allowed local police to work closely with immigration enforcement.
3)Broadened deportation priorities: anyone who violated immigration law, committed a chargeable criminal offense, or was simply deemed a threat could be deported."
1,2022,JULY,TITLE 8 AND TITLE 42,"12,788","18,328","31,116",,,
1,2022,AUGUST,TITLE 8 AND TITLE 42,"14,946","22,313","37,259",,,
1,2022,SEPTEMBER,TITLE 8 AND TITLE 42,"12,923","19,950","32,873",,,
1,2022,OCTOBER,TITLE 8 AND TITLE 42,"3,629","5,724","9,353",,,
1,2022,NOVEMBER,TITLE 8 AND TITLE 42,"5,302","7,830","13,132",,,
1,2022,DECEMBER,TITLE 8 AND TITLE 42,"7,287","8,651","15,938",,,
1,2021,JANUARY,TITLE 8 AND TITLE 42,953,"3,097","4,051",,,
1,2021,FEBRUARY,TITLE 8 AND TITLE 42,"1,533","3,456","4,989",,,
1,2021,MARCH,TITLE 8 AND TITLE 42,"1,873","4,061","5,934",,,
1,2021,APRIL,TITLE 8 AND TITLE 42,"1,168","5,096","6,264",,,
1,2021,MAY,TITLE 8 AND TITLE 42,"1,369","7,943","9,312",,,
1,2021,JUNE,TITLE 8 AND TITLE 42,"1,789","10,385","12,174",,,
1,2021,JULY,TITLE 8 AND TITLE 42,"3,278","12,935","16,213",,,
1,2021,AUGUST,TITLE 8 AND TITLE 42,"4,390","13,326","10,088",,,
1,2021,SEPTEMBER,TITLE 8 AND TITLE 42,"3,602","6,486","17,716",,,
1,2021,OCTOBER,TITLE 8 AND TITLE 42,"2,587","2,897","5,484",,,
1,2021,NOVEMBER,TITLE 8 AND TITLE 42,"1,565","2,944","4,509",,,
1,2021,DECEMBER,TITLE 8 AND TITLE 42,"2,150","2,853","5,003",,,
