Incident Date,year,month,state,Total Number of Dead and Missing,Cause of Death,average_temp,Migration Route,geometry
2014-01-06,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-110.366453 31.650259)
2014-01-12,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.73756 31.59713)
2014-01-14,2014.0,1,,1,Mixed or unknown,,US-Mexico border crossing,POINT (-113.01125 31.94026)
2014-01-16,2014.0,1,ARIZONA,1,Violence,44.0,US-Mexico border crossing,POINT (-109.315632 31.506777)
2014-01-17,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-113.18402 32.45435)
2014-01-22,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-113.182833 32.478317)
2014-01-24,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.01101 31.81154)
2014-01-24,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-112.174583 32.174017)
2014-01-25,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-113.02935 32.40291)
2014-01-28,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-112.919 32.159)
2014-01-29,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.654933 32.481483)
2014-01-29,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-111.654933 32.481683)
2014-02-11,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-111.854867 31.8054)
2014-02-16,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-111.385833 31.992833)
2014-02-16,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-112.20211 32.17305)
2014-02-17,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-112.1726 32.00768)
2014-02-18,2014.0,2,CALIFORNIA,1,Violence,50.0,US-Mexico border crossing,POINT (-116.850999 32.587899)
2014-02-20,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-111.96383 31.82214)
2014-02-21,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-112.58407 32.08795)
2014-02-25,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-112.44956 32.0885)
2014-03-04,2014.0,3,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",52.0,US-Mexico border crossing,POINT (-110.51916 31.759)
2014-03-13,2014.0,3,TEXAS,1,Mixed or unknown,51.6,US-Mexico border crossing,POINT (-97.748199 26.811203)
2014-03-15,2014.0,3,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",52.0,US-Mexico border crossing,POINT (-112.114583 31.789033)
2014-03-15,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-112.326 32.1386)
2014-03-23,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-111.183 31.558)
2014-03-26,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-112.06415 31.94755)
2014-03-26,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-111.62433 31.85666)
2014-03-30,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-111.862733 31.688867)
2014-03-30,2014.0,3,ARIZONA,1,Mixed or unknown,52.0,US-Mexico border crossing,POINT (-111.7528 32.3085)
2014-03-30,2014.0,3,ARIZONA,1,Accidental death,52.0,US-Mexico border crossing,POINT (-110.93813 31.33271)
2014-04-02,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-110.989383 31.354017)
2014-04-10,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.42503 32.03171)
2014-04-10,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-111.9419 31.836217)
2014-04-14,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-111.330983 32.12865)
2014-04-14,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.5039 32.178733)
2014-04-14,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.246033 32.09045)
2014-04-18,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-113.0037 32.1886)
2014-04-23,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.9961 32.1833)
2014-04-27,2014.0,4,ARIZONA,1,Violence,56.5,US-Mexico border crossing,POINT (-110.862595 31.99887)
2014-04-27,2014.0,4,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",56.5,US-Mexico border crossing,POINT (-110.793333 31.467633)
2014-04-30,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-111.43782 31.59867)
2014-05-01,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-111.79283 31.58023)
2014-05-06,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-112.868 32.12555)
2014-05-08,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-111.97016 31.75233)
2014-05-10,2014.0,5,ARIZONA,1,Violence,63.0,US-Mexico border crossing,POINT (-110.360473 31.692369)
2014-05-13,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-112.34965 31.95283)
2014-05-21,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-111.68357 31.61445)
2014-05-22,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-111.6213 32.46313)
2014-05-27,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-113.1525 32.0667)
2014-05-28,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-109.4814 31.34675)
2014-05-30,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-111.636383 32.437783)
2014-05-30,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-111.636383 32.437983)
2014-06-01,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.3423 31.62445)
2014-06-03,2014.0,6,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",72.2,US-Mexico border crossing,POINT (-110.96816 31.334397)
2014-06-06,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.670617 32.564183)
2014-06-09,2014.0,6,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",72.2,US-Mexico border crossing,POINT (-112.0059 31.906667)
2014-06-09,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-112.959966 32.23316)
2014-06-10,2014.0,6,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",72.2,US-Mexico border crossing,POINT (-112.9 32.05)
2014-06-10,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-112.59816 32.48843)
2014-06-12,2014.0,6,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",72.2,US-Mexico border crossing,POINT (-111.396767 31.778767)
2014-06-12,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-113.75 32.833333)
2014-06-12,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.875669 31.914994)
2014-06-12,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.86507 31.84452)
2014-06-13,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-112.58124 32.14323)
2014-06-14,2014.0,6,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",72.2,US-Mexico border crossing,POINT (-111.86321 31.78543)
2014-06-14,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.40091 31.49908)
2014-06-16,2014.0,6,TEXAS,1,Mixed or unknown,76.3,US-Mexico border crossing,POINT (-98.161338 27.153103)
2014-06-18,2014.0,6,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",72.2,US-Mexico border crossing,POINT (-111.71384 32.16403)
2014-06-19,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.20567 32.17175)
2014-06-19,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.64305 32.4275)
2014-06-25,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-112.21016 32.49936)
2014-06-28,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-111.00497 31.39289)
2014-07-01,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-111.84799 31.6739)
2014-07-02,2014.0,7,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",79.6,US-Mexico border crossing,POINT (-111.78697 31.629327)
2014-07-02,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-112.12716 32.375917)
2014-07-05,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-112.737717 32.081967)
2014-07-07,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-111.863817 32.316)
2014-07-10,2014.0,7,TEXAS,1,Mixed or unknown,81.1,US-Mexico border crossing,POINT (-97.709747 26.926356)
2014-07-12,2014.0,7,TEXAS,1,Mixed or unknown,81.1,US-Mexico border crossing,POINT (-98.186279 26.998573)
2014-07-13,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-111.69537 31.62332)
2014-07-14,2014.0,7,TEXAS,1,Mixed or unknown,81.1,US-Mexico border crossing,POINT (-98.187652 26.990008)
2014-07-17,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-113.00065 32.03617)
2014-07-18,2014.0,7,TEXAS,1,Mixed or unknown,81.1,US-Mexico border crossing,POINT (-98.033844 26.955738)
2014-07-24,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-111.6385 31.651)
2014-07-26,2014.0,7,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",79.6,US-Mexico border crossing,POINT (-113.14252 32.37387)
2014-07-27,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-111.533472 32.532056)
2014-07-30,2014.0,7,ARIZONA,1,Accidental death,79.6,US-Mexico border crossing,POINT (-110.697817 31.6488)
2014-07-30,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-112.05419 32.83222)
2014-07-31,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-112.871417 31.949573)
2014-08-01,2014.0,8,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",78.9,US-Mexico border crossing,POINT (-111.4741 32.26839)
2014-08-04,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-111.56971 32.04927)
2014-08-05,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-111.526 32.54141)
2014-08-05,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-113.05333 32.197083)
2014-08-05,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-111.997183 31.685017)
2014-08-18,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-111.78028 31.63525)
2014-08-21,2014.0,8,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",78.9,US-Mexico border crossing,POINT (-111.461233 31.489567)
2014-08-22,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-112.12708 32.03905)
2014-08-25,2014.0,8,ARIZONA,1,Mixed or unknown,78.9,US-Mexico border crossing,POINT (-111.47552 32.299867)
2014-08-27,2014.0,8,TEXAS,44,Mixed or unknown,82.1,US-Mexico border crossing,POINT (-98.233616 27.033656)
2014-09-03,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-112.07349 31.93067)
2014-09-06,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-109.549239 31.33915)
2014-09-07,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-113.02776 32.00936)
2014-09-10,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-113.163509 32.35267)
2014-09-10,2014.0,9,TEXAS,1,Drowning,79.5,US-Mexico border crossing,POINT (-98.379882 26.185052)
2014-09-11,2014.0,9,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",75.4,US-Mexico border crossing,POINT (-112.33998 32.6185)
2014-09-12,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-112.051033 31.76753)
2014-09-23,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-111.68045 31.75811)
2014-09-25,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-112.02004 32.15356)
2014-09-25,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-113.1603 32.1823)
2014-09-26,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-111.9822 31.763)
2014-01-02,2014.0,1,ARIZONA,1,Mixed or unknown,44.0,US-Mexico border crossing,POINT (-112.24025 32.920733)
2014-02-26,2014.0,2,ARIZONA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",48.2,US-Mexico border crossing,POINT (-112.590033 32.54435)
2014-03-27,2014.0,3,ARIZONA,1,Violence,52.0,US-Mexico border crossing,POINT (-111.7932 33.406483)
2014-04-12,2014.0,4,ARIZONA,1,Mixed or unknown,56.5,US-Mexico border crossing,POINT (-112.529133 32.867583)
2014-04-15,2014.0,4,ARIZONA,1,Violence,56.5,US-Mexico border crossing,POINT (-112.20325 33.328533)
2014-05-03,2014.0,5,ARIZONA,1,Mixed or unknown,63.0,US-Mexico border crossing,POINT (-112.493383 32.767733)
2014-06-17,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-113.05275 32.889083)
2014-06-17,2014.0,6,ARIZONA,1,Mixed or unknown,72.2,US-Mexico border crossing,POINT (-112.5716 32.785367)
2014-07-06,2014.0,7,ARIZONA,1,Mixed or unknown,79.6,US-Mexico border crossing,POINT (-113.022283 32.773417)
2014-09-09,2014.0,9,ARIZONA,1,Mixed or unknown,75.4,US-Mexico border crossing,POINT (-112.603117 32.799933)
2014-10-01,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.70088 32.11158)
2014-10-03,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-113.100567 33.286833)
2014-10-09,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-109.9977 31.363417)
2014-10-12,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-111.4236 31.7237)
2014-10-15,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-111.630167 32.443117)
2014-10-15,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.184983 32.7641)
2014-10-19,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-112.5388 32.854167)
2014-10-21,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-111.37118 32.21341)
2014-10-24,2014.0,10,ARIZONA,1,Violence,69.6,US-Mexico border crossing,POINT (-111.140983 32.100767)
2014-10-28,2014.0,10,ARIZONA,1,Mixed or unknown,69.6,US-Mexico border crossing,POINT (-113.03201 32.49773)
